tstamp	latitude	longitude	speed	trip_id
2023-01-17 09:22:40	45.488155	-122.801128	0	239656973
2023-01-17 09:23:00	45.487707	-122.80077	2.75	239656973
2023-01-17 09:23:05	45.487302	-122.800415	10.6	239656973
2023-01-17 09:23:10	45.487032	-122.800303	6.6	239656973
2023-01-17 09:24:10	45.486607	-122.799607	1.55	239656973
2023-01-17 09:27:05	45.486468	-122.788205	5.14	239656973
2023-01-17 09:28:40	45.486472	-122.781883	5.25	239656973
2023-01-17 10:04:59	45.522843	-122.67552	7.91	239657033
2023-01-17 09:29:00	45.486473	-122.778795	12.05	239656973
2023-01-17 10:06:14	45.520678	-122.67668	3.65	239657033
2023-01-17 10:06:24	45.52009	-122.67709	7.3	239657033
2023-01-17 10:07:09	45.518152	-122.678178	5.2	239657033
2023-01-17 10:07:14	45.517837	-122.678327	7.4	239657033
2023-01-17 10:07:39	45.516357	-122.679162	7.12	239657033
2023-01-17 10:08:19	45.514753	-122.67992	4.78	239657033
2023-01-17 10:08:29	45.514038	-122.68031	8.7	239657033
2023-01-17 10:08:34	45.513685	-122.680518	8.2	239657033
2023-01-17 10:08:44	45.513503	-122.6806	2	239657033
2023-01-17 10:08:59	45.512403	-122.681033	8.6	239657033
2023-01-17 10:09:29	45.511068	-122.681732	5.23	239657033
2023-01-17 10:09:39	45.51079	-122.681868	3.3	239657033
2023-01-17 10:09:54	45.51047	-122.681252	4.13	239657033
2023-01-17 10:10:14	45.510343	-122.68075	2.2	239657033
2023-01-17 10:10:59	45.509783	-122.678343	4.38	239657033
2023-01-17 10:11:09	45.509532	-122.677473	7.3	239657033
2023-01-17 10:11:39	45.507782	-122.677548	6.67	239657033
2023-01-17 10:12:14	45.503327	-122.677783	14.31	239657033
2023-01-17 10:12:24	45.501743	-122.677822	17.8	239657033
2023-01-17 10:12:34	45.500123	-122.677803	18	239657033
2023-01-17 10:12:49	45.497693	-122.677902	18.4	239657033
2023-01-17 09:31:00	45.486315	-122.768028	7.09	239656973
2023-01-17 09:32:15	45.486163	-122.759842	8.47	239656973
2023-01-17 09:52:50	45.509673	-122.677202	8.23	239656973
2023-01-17 09:52:59	45.509802	-122.677708	4.78	239656973
2023-01-17 09:53:09	45.509815	-122.677755	0.4	239656973
2023-01-17 09:53:39	45.509877	-122.678008	0.7	239656973
2023-01-17 09:55:19	45.510765	-122.682	3.32	239656973
2023-01-17 09:55:25	45.510845	-122.682327	4.5	239656973
2023-01-17 09:56:24	45.51111	-122.682882	0.97	239656973
2023-01-17 09:57:44	45.51373	-122.681405	3.92	239656973
2023-01-17 09:57:49	45.514032	-122.681228	7	239656973
2023-01-17 09:58:24	45.515158	-122.680662	3.86	239656973
2023-01-17 10:00:09	45.517822	-122.679235	3.04	239656973
2023-01-17 10:00:14	45.518052	-122.679113	5.2	239656973
2023-01-17 10:00:23	45.51818	-122.679043	1.44	239656973
2023-01-17 10:00:34	45.518355	-122.678958	2.18	239656973
2023-01-17 10:00:39	45.518585	-122.678832	5.6	239656973
2023-01-17 10:00:49	45.51907	-122.678568	5.8	239656973
2023-01-17 10:00:59	45.519608	-122.678252	6.5	239656973
2023-01-17 10:01:09	45.520072	-122.677982	5.4	239656973
2023-01-17 09:33:25	45.486015	-122.753562	6.53	239656973
2023-01-17 09:33:35	45.486015	-122.752238	10.4	239656973
2023-01-17 09:34:05	45.486028	-122.751405	2.23	239656973
2023-01-17 09:34:15	45.486018	-122.750113	10.1	239656973
2023-01-17 09:34:30	45.48601	-122.749688	2.13	239656973
2023-01-17 09:34:55	45.48601	-122.749688	0	239656973
2023-01-17 09:36:25	45.486318	-122.747868	1.68	239656973
2023-01-17 09:37:05	45.487007	-122.740495	14.75	239656973
2023-01-17 09:38:30	45.48697	-122.731247	8.59	239656973
2023-01-17 09:38:35	45.486968	-122.730438	12.8	239656973
2023-01-17 09:38:45	45.48698	-122.728707	13.7	239656973
2023-01-17 09:38:50	45.486883	-122.727778	15	239656973
2023-01-17 09:39:20	45.485658	-122.722327	15.23	239656973
2023-01-17 09:40:50	45.482665	-122.71272	9.27	239656973
2023-01-17 09:41:15	45.48248	-122.712222	1.72	239656973
2023-01-17 09:41:25	45.481903	-122.710845	12.6	239656973
2023-01-17 09:42:05	45.480393	-122.704673	13.1	239656973
2023-01-17 10:13:39	45.490973	-122.678432	16.1	239657033
2023-01-17 10:14:29	45.489453	-122.682312	7.18	239657033
